ingredient,query,title,url,domain,year_detected,score,snippet,reasons
silver,"""silver"" toxicity cosmetic regulation EU restriction",EU Updates Cosmetic Regulation: Further Strengthening of CMR Substance Controls - Regulatory News - Personal and Home Care Products - CIRS Group,https://www.cirs-group.com/en/cosmetics/eu-updates-cosmetic-regulation-further-strengthening-of-cmr-substance-controls,cirs-group.com,2026,14,"January 16, 2026 -Micron-sized silver should also ... classified as a CMR substance of category 2 (toxic for reproduction) byDelegated Regulation (EU) 2024/2564, ......",source non prioritaire mais acceptée (+1) : cirs-group.com | mots-clés détectés (5) | très récent (+3) : 2026
silver,"""silver"" SCCS cosmetic safety opinion EU",EU SCCS Updates Safety Opinion on Micron-Sized Silver ...,https://cosmetic.chemlinked.com/news/cosmetic-news/eu-sccs-updates-safety-opinion-on-micron-sized-silver-in-cosmetics,cosmetic.chemlinked.com,2025,14,"December 19, 2025 -Daily news of cosmetics regulatory and industrial updates in the globe especially China.",source non prioritaire mais acceptée (+1) : cosmetic.chemlinked.com | mots-clés détectés (5) | très récent (+3) : 2025
silver,"""silver"" ban restriction cosmetic Europe","EC Amends Cosmetics Regulation, Prohibiting and Restricting Certain Nanomaterials - Bergeson & Campbell, P.C.",https://www.lawbc.com/ec-amends-cosmetics-regulation-prohibiting-and-restricting-certain-nanomaterials/,lawbc.com,2025,14,"March 29, 2024 -From February 1, 2025, cosmetic products containing this substance and not complying with the restrictions shall not be placed on the EU market. From November 1, 2025, cosmetic products containing that substance shall not be made available on ...",source non prioritaire mais acceptée (+1) : lawbc.com | mots-clés détectés (4) | très récent (+3) : 2025
silver,"""silver"" toxicity cosmetic regulation EU restriction",SCCS Opinion on the safety of Silver (CAS/EC No. 7440-22-4/231-131-3) used in cosmetic products - Public Health,https://health.ec.europa.eu/publications/sccs-opinion-safety-silver-casec-no-7440-22-4231-131-3-used-cosmetic-products_en,health.ec.europa.eu,2024,13,"July 3, 2024 -2, the SCCS considersmicron-sized particulate Silver not safe at concentrations up to 0.2 % in rinse-off and 0.3 % in leave-on cosmetic products when used alone or in combination.",source fiable (+3) : health.ec.europa.eu | mots-clés détectés (4) | récent (+2) : 2024
silver,"""silver"" ECHA CLP REACH risk",Silver: preliminary Opinion of the SCCS - Ingredients,https://cosmeticobs.com/en/articles/ingredients-52/silver-preliminary-opinion-of-the-sccs-8039,cosmeticobs.com,,13,"Following an opinion from theRiskAssessment Committee (RAC) of theEuropeanChemicalsAgency(ECHA) recommending thatsilverbe classified as ""Toxic for Reproduction Category 2"", the European Commission asked the SCCS to assess it safety.",source non prioritaire mais acceptée (+1) : cosmeticobs.com | mots-clés détectés (6) | date non trouvée (+0)
silver,"""silver"" ban restriction cosmetic Europe",New ban and restrictions for certain nanomaterials in cosmetics,https://coslaw.eu/new-ban-and-restrictions-for-certain-nanomaterials-for-use-in-cosmetics/,coslaw.eu,2024,13,"March 18, 2024 -Commission Regulation (EU) 2024/858 of 14 March 2024amending Regulation (EC) No 1223/2009 of the European Parliament and of the Council as regards the use of the nanomaterials Styrene/Acrylates copolymer, Sodium Styrene/Acrylates copolymer, ...",source non prioritaire mais acceptée (+1) : coslaw.eu | mots-clés détectés (4) | récent (+2) : 2024
silver,"""silver"" toxicity cosmetic regulation EU restriction",SCCS - Scientific Advice on Silver used in cosmetic products (CAS/EC No. 7440-22-4/231-131-3) - Public Health,https://health.ec.europa.eu/publications/sccs-scientific-advice-silver-used-cosmetic-products-casec-no-7440-22-4231-131-3_en,health.ec.europa.eu,2025,12,"December 18, 2025 -In the light of the new data provided, ... considersmicron-sized particulate Silver [100nm<particle diameter<1 mm] safe when used up to a maximum concentration of 0.2% in rinse-off and 0.3% in leave-on cosmetic products, as specified ...",source fiable (+3) : health.ec.europa.eu | mots-clés détectés (3) | très récent (+3) : 2025
silver,"""silver"" toxicity cosmetic regulation EU restriction",Omnibus VIII (EU) 2026/78: New CMR restrictions | Cosmeservice,https://cosmeservice.com/news/commission-regulation-eu-2026-78-new-cmr-related-restrictions-under-the-eu-cosmetics-regulation/,cosmeservice.com,2026,12,"January 22, 2026 -Silver (powder) is now regulated ... size: ...For toothpaste and mouthwash, a maximum concentration of 0.05% applies under the restricted-use category, all specified at the entrance of Annex III/379....",source non prioritaire mais acceptée (+1) : cosmeservice.com | mots-clés détectés (3) | très récent (+3) : 2026
silver,"""silver"" SCCS cosmetic safety opinion EU",SCCS - Preliminary Opinion open for comments on Silver used in cosmetic products - Deadline: 23 February 2026 - Public Health,https://health.ec.europa.eu/latest-updates/sccs-preliminary-opinion-open-comments-silver-used-cosmetic-products-deadline-23-february-2026-2025-12-18_en,health.ec.europa.eu,2026,11,"December 18, 2025 -SCCS - Preliminary Opinion open for comments on Silver used in cosmetic products - Deadline: 23 February 2026",source fiable (+3) : health.ec.europa.eu | mots-clés détectés (2) | très récent (+3) : 2026
silver,"""silver"" ECHA CLP REACH risk",Competent Authorities forREACHandCLP(CARACAL),https://alfed.org.uk/wp-content/uploads/2023/10/AP6_CLP_CA_33_2022_2021-ATP_ECHA_Response_to_comments.pdf,alfed.org.uk,,11,ECHAresponse: The difference in the relationship between pH and dissolution for lead andsilverdetermined that different approaches were taken when assessing the T/Dp data. Toxicity data is assessed when available for a given substance.,source non prioritaire mais acceptée (+1) : alfed.org.uk | mots-clés détectés (5) | date non trouvée (+0)
silver,"""silver"" endocrine disruption cosmetic concern",(PDF) Introduction to the science and regulationconcerning...,https://www.academia.edu/63326386/Introduction_to_the_science_and_regulation_concerning_endocrine_disrupting_chemicals_the_challenges_ahead,academia.edu,,11,The first presentation gave an overview of where theendocrinedisruptingchemical (EDC) issue currently stands in terms of science and policy. It introduced the significant debate about whether suspected EDCs should be evaluated using a hazard-based or a risk-based approach.,source non prioritaire mais acceptée (+1) : academia.edu | mots-clés détectés (5) | date non trouvée (+0)
silver,"""silver"" toxicity cosmetic regulation EU restriction",SCIENTIFIC ADVICE on on Silver used in cosmetic products ...,https://health.ec.europa.eu/document/download/fee553a1-d946-4ef3-9d8a-e45f325cbc3b_en?filename=sccs_o_309.pdf,health.ec.europa.eu,2025,10,"December 17, 2025 -Regulation (EC) No 1272/2008. ... Scientific advice on Silver (CAS/EC No. 7440-22-4/231-131-3) used in cosmetic products",source fiable (+3) : health.ec.europa.eu | mots-clés détectés (2) | très récent (+3) : 2025
silver,"""silver"" SCCS cosmetic safety opinion EU",SCCS - Scientific Advice on Silver used in cosmetic products (CAS/EC No. 7440-22-4/231-131-3) - SCCS/1687/25 - Preliminary Opinion - Archive ouverte HAL,https://hal.science/hal-05424560,hal.science,2025,10,"December 18, 2025 -Delmaar, A. Koutsodimou, H. Louro, ... micron-sized particulate Silver [100 nm < particle diameter < 1 mm]safe when used up to a maximum concentration of 0.2 % in rinse-off and 0.3 % in leave-on cosmetic products?...",source non prioritaire mais acceptée (+1) : hal.science | mots-clés détectés (3) | très récent (+3) : 2025
silver,"""silver"" ECHA CLP REACH risk",(PDF) NANoREG framework for the safety assessment of nanomaterials,https://www.researchgate.net/publication/316686391_NANoREG_framework_for_the_safety_assessment_of_nanomaterials,researchgate.net,,10,performriskcharacterisation underREACH(ECHA2016a). The reader is referred to that.incorporation ofsilverNMs into textile fibres) probably leads to less release of the NM. than applying a coating to the surface of a solid consumer product (e.g. spraying a.,source non prioritaire mais acceptée (+1) : researchgate.net | mots-clés détectés (5) | date non trouvée (+0)
silver,"""silver"" toxicity cosmetic regulation EU restriction",EU bans and restricts dozens of dangerous cosmetic ingredients,https://www.personalcareinsights.com/news/eu-bans-dangerous-cosmetic-ingredients.html,personalcareinsights.com,2025,9,"May 26, 2025 -The updated Annex III imposes strict usage limits on silver powder (non-nano form), allowing a maximum of 0.05% in toothpaste and mouthwash, and hexyl salicylate, a widely used fragrance compound.",source fiable (+1) : personalcareinsights.com | mots-clés détectés (2) | très récent (+3) : 2025
silver,"""silver"" SCCS cosmetic safety opinion EU",Micron-sized Silver : preliminary Opinion of the SCCS - SCCS,https://cosmeticobs.com/en/articles/sccs-44/micron-sized-silver-preliminary-opinion-of-the-sccs-9102,cosmeticobs.com,2024,9,"In June 2024, the SCCS concluded in its Opinion (SCCS/1665/24) thatmicron-sized particulate Silver was not safe at concentrations up to 0.2% in rinse-off and 0.3 % in leave-on cosmetic products.",source non prioritaire mais acceptée (+1) : cosmeticobs.com | mots-clés détectés (3) | récent (+2) : 2024
silver,"""silver"" ECHA CLP REACH risk",Effects ofsilvernanoforms on the environment - EUON -ECHA,https://euon.echa.europa.eu/effects-of-silver-nanoforms-on-the-environment,euon.echa.europa.eu,,9,ECHA’s activities on nanomaterials underREACHandCLP.Companies registeringsilverunderREACHclaimed that the ionic form ofsilvercould be considered as the worst case scenario when assessingrisksfor the environment.,source non prioritaire mais acceptée (+1) : euon.echa.europa.eu | mots-clés détectés (4) | date non trouvée (+0)
silver,"""silver"" ECHA CLP REACH risk",January regulatory roundup,https://www.linkedin.com/pulse/january-regulatory-roundup-ce-way-regulatory-consultants-ltd-l7j3c,linkedin.com,2024,9,"On 10 January 2024, theEuropeanChemicalsAgency(ECHA) published Hungary’s proposal for CLH classification of Sodium Chlorite, an oxidizing and oral care agent, as a category two mutagenic substance. A threat to its use in cosmetics if the process is completed.",source non prioritaire mais acceptée (+1) : linkedin.com | mots-clés détectés (3) | récent (+2) : 2024
silver,"""silver"" endocrine disruption cosmetic concern","Launch of PEPPER, a platform to develop research onendocrine...",https://cosmeticobs.com/en/articles/ingredients-news-59/launch-of-pepper-a-platform-to-develop-research-on-endocrine-disruptors-5067/,cosmeticobs.com,,9,"Endocrinedisruptors are a majorconcernfor consumers. While European regulations strictly regulate them, the scientific methods currently available do not yet cover all the mechanisms of action ofendocrinedisruption. One reason for this is the insufficient number of validated test...",source non prioritaire mais acceptée (+1) : cosmeticobs.com | mots-clés détectés (4) | date non trouvée (+0)
silver,"""silver"" ECHA CLP REACH risk",The UK needs a nationalChemicalsAgency- join the RSC's call for...,https://www.rsc.org/news/2024/june/the-uk-needs-a-national-chemicals-agency-join-the-rsc-s-call-for-politicians-to-end-regulatory-chaos,rsc.org,,8,"Commence negotiations for access toECHAchemicalsdata. Provide a timeline for UKREACHreform and the likely new registration, evaluation, authorisation and restriction ofchemicalsprocesses.",source non prioritaire mais acceptée (+1) : rsc.org | mots-clés détectés (3) | date non trouvée (+0)
silver,"""silver"" endocrine disruption cosmetic concern",How to Avoid Hormone-DisruptingCosmetics- Organic Consumers,https://organicconsumers.org/how-avoid-hormone-disrupting-cosmetics/,organicconsumers.org,,8,"ChangingCosmeticsMay Reduce Exposure to HormoneDisruptingChemicals.Although the FDA has set what they consider to be safe limits for many chemicals found within personal care products, theconcernis not exposure to one product with one use.",source non prioritaire mais acceptée (+1) : organicconsumers.org | mots-clés détectés (4) | date non trouvée (+0)
silver,"""silver"" ECHA CLP REACH risk",ToxicologicalRiskAssessment for Beginners,https://repositoriobibliotecas.uv.cl/serveruv/api/core/bitstreams/7cb50d6a-a8fb-4386-ae00-8b7017cdda88/content,repositoriobibliotecas.uv.cl,,7,"By performingriskassessment, the EPA helps governmentagenciesto make informed decisions in setting environmental standards and regula-tion. Theriskassessment process helpsriskmanagers toreachinformed decisions even when limited data is available, but an action is necessary.",source non prioritaire mais acceptée (+1) : repositoriobibliotecas.uv.cl | mots-clés détectés (3) | date non trouvée (+0)
silver,"""silver"" ECHA CLP REACH risk",Microsoft Word -clp_en.doc,https://www.molybdenumconsortium.org/assets/files/Full_guidance_ECHA_August_2009_en.pdf,molybdenumconsortium.org,2010,7,"CLPandREACHplaces the responsibility for hazard classification and related provisions such as packaging, hazard communication and SDS on the suppliers of substances and mixtures. Until 1 December 2010",source non prioritaire mais acceptée (+1) : molybdenumconsortium.org | mots-clés détectés (3) | ancien (+0) : 2010
silver,"""silver"" ECHA CLP REACH risk",ECHA& National Helpdesks -REACHMetals Gateway,https://www.reach-metals.eu/echa-and-national-helpdesks,reach-metals.eu,,7,EuropeanChemicalsAgency.echa.europa.eu. Finland.National Institute for Industrial Environment andRisks(INERIS).reach-info.fr. Germany.,source non prioritaire mais acceptée (+1) : reach-metals.eu | mots-clés détectés (3) | date non trouvée (+0)
silver,"""silver"" endocrine disruption cosmetic concern",Hormone havoc: Areendocrine-disrupting... - Harpers bazaar,https://www.harpersbazaar.in/beauty/story/hormone-havoc-are-endocrine-disrupting-chemicals-in-beauty-products-a-real-risk-1335524-2026-01-23,harpersbazaar.in,,7,"Endocrine-disruptingchemicals are raising red flags. But is this another form of toxic greenwashing, or is it a real cause forconcern? Bazaar India investigates.",source non prioritaire mais acceptée (+1) : harpersbazaar.in | mots-clés détectés (3) | date non trouvée (+0)
silver,"""silver"" endocrine disruption cosmetic concern",EndocrineSociety Raises NewConcernsabout Toxic...,https://highintensityhealth.com/endocrine-society-raises-new-concerns-about-toxic-endocrine-disrupting-chemicals/,highintensityhealth.com,,7,Endocrinesociety released a new statement about the impact thatendocrine-disruptingchemicals (EDCs) and persistent organic pollutants have on our health.,source non prioritaire mais acceptée (+1) : highintensityhealth.com | mots-clés détectés (3) | date non trouvée (+0)
silver,"""silver"" endocrine disruption cosmetic concern",Chemical cocktail: what's really in your beauty products,https://au.lifestyle.yahoo.com/chemical-cocktail-whats-really-in-your-beauty-products-14413345.html,au.lifestyle.yahoo.com,,7,"Phthalates are considered ""endocrine-disrupting,"" meaning that they can alter normal regulation of certain mechanisms within our bodies, and Dr James-Todd's study is just one of several which has linked the presence of phthalates to conditions such as diabetes.",source non prioritaire mais acceptée (+1) : au.lifestyle.yahoo.com | mots-clés détectés (3) | date non trouvée (+0)
silver,"""silver"" ECHA CLP REACH risk",(PDF) Combining theEuropeanchemicalsregulation and an...,https://www.academia.edu/128195758/Combining_the_European_chemicals_regulation_and_an_eco_toxicological_screening_for_a_safer_membrane_development,academia.edu,,5,TheCLPRegulation is based on the 3rd revision of the United Nations' Globally Harmonised System of Classiﬁcation and Labelling ofChemicals(UN GHS) and is implementing the provisions of the GHS within the EU.,source non prioritaire mais acceptée (+1) : academia.edu | mots-clés détectés (2) | date non trouvée (+0)
silver,"""silver"" endocrine disruption cosmetic concern",EndocrineDisruptors: 4. Do EDCs affect human health?,https://www.greenfacts.org/en/endocrine-disruptors/l-2/endocrine-disruptors-4.htm,greenfacts.org,,5,"However, the fact that high levels of chemicals can impair human health through interferences with theendocrinesystem, raisesconcernsabout the possible harmful effects of mixtures of so calledendocrinedisruptingchemicals, even at low background-levels.",source non prioritaire mais acceptée (+1) : greenfacts.org | mots-clés détectés (2) | date non trouvée (+0)
silver,"""silver"" endocrine disruption cosmetic concern","‘Harmful contents incosmetics, herbicide lead toendocrine...",https://www.thehindu.com/sci-tech/health/harmful-contents-in-cosmetics-herbicide-lead-to-endocrine-disruption-hormonal-imbalance/article69263171.ece,thehindu.com,,5,"On Tuesday, they told mediapersons in Kalaburagi that the chemical compounds Isobutyal Parabal found in somecosmeticsand Phenyl Mercuric Acetate found in herbicides are one of the major reasons forendocrinedisruptionsand hormonal imbalances in the two generation...",source non prioritaire mais acceptée (+1) : thehindu.com | mots-clés détectés (2) | date non trouvée (+0)
silver,"""silver"" endocrine disruption cosmetic concern",Endocrinedisruptors impair human sperm function,https://www.chemeurope.com/en/news/148198/endocrine-disruptors-impair-human-sperm-function.html,chemeurope.com,,5,"Endocrinedisruptors are present in food, textiles, drugs, household, and personal-care products such as plastic bottles, toys, andcosmetics. Proving the deleterious effects ofendocrinedisruptors on human beings has been difficult due to a lack of suitable experimental systems.",source non prioritaire mais acceptée (+1) : chemeurope.com | mots-clés détectés (2) | date non trouvée (+0)
silver,"""silver"" endocrine disruption cosmetic concern",Endocrinedisruptors – in fabric? | OEcotextiles,https://oecotextiles.blog/2013/04/11/endocrine-disruptors-in-fabric/,oecotextiles.blog,,3,the environment”.[4]Endocrinedisruption—the mimicking or blocking or suppression of hormones by industrial or natural chemicals— appeared to be affecting adult reproductive systems and child development in ways that far surpassed cancer...,source non prioritaire mais acceptée (+1) : oecotextiles.blog | mots-clés détectés (1) | date non trouvée (+0)
